plr_id,plr_name,bezirk,flaeche_km2,centroid_lat,centroid_lng,einwohner_gesamt,einwohner_18_35,einwohner_dichte,medianeinkommen_eur,mss_status_index,mss_dynamik_label,doener_count,doener_avg_rating,doener_total_reviews,doener_best_rating,doener_pct_delivery,doener_avg_hours_per_week,doener_pct_late_night,doener_pct_open_sunday,doener_avg_price_level,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count,gastro_gesamt,gastro_neu,einwohner_pro_doener,wettbewerb_index,gastro_fluktuation,gentrification_flag
11501341,Karlshorst Süd,Lichtenberg,2.294,52.479611,13.518742,10103.0,2270.0,4404.1,5154.0,2.0,negativ,2,4.2,154,4.6,50.0,101.0,100.0,100.0,1.0,25,0,19,1,6,0,16,8,5051.5,0.198,0.5,0.0
07601340,Tirschenreuther Ring Ost,Tempelhof-Schoeneberg,0.414,52.410178,13.35487,6416.0,1281.0,15497.6,3325.0,3.0,stabil,1,3.6,336,3.6,100.0,84.0,100.0,100.0,1.0,4,0,8,2,4,1,9,3,6416.0,0.312,0.333,0.0
02500831,Wismarplatz,Friedrichshain-Kreuzberg,0.249,52.512474,13.46516,7857.0,2424.0,31554.2,4327.0,2.0,stabil,2,4.9,1832,4.9,100.0,128.0,100.0,100.0,1.0,7,0,8,13,5,0,39,19,3928.5,0.255,0.487,0.0
12601134,Märkisches Zentrum,Reinickendorf,1.1279,52.601326,13.350792,16006.0,3517.0,14191.0,3151.0,4.0,stabil,3,4.4,1163,4.9,66.7,106.2,66.7,100.0,1.0,15,0,16,6,11,2,37,11,5335.3,0.312,0.297,0.0
07601547,Horstwalder Straße,Tempelhof-Schoeneberg,0.9414,52.380759,13.410935,3828.0,547.0,4066.3,4001.0,2.0,stabil,0,,0,,,,,,,12,0,1,1,3,1,6,1,,0.261,0.167,0.0
08301036,Gropiusstadt Mitte,Neukoelln,0.695,52.426188,13.4702,7448.0,1613.0,10716.5,3257.0,3.0,stabil,1,4.7,29,4.7,0.0,84.0,100.0,100.0,1.0,14,0,6,2,5,0,4,2,7448.0,0.134,0.5,0.0
05200421,Spandauer Straße,Spandau,0.7201,52.535361,13.14216,4360.0,964.0,6054.7,3412.0,2.0,negativ,0,,0,,,,,,,4,0,4,1,1,0,7,2,,0.0,0.286,0.0
05200418,Isenburger Weg,Spandau,1.2846,52.544076,13.135361,3847.0,601.0,2994.7,4403.0,1.0,stabil,0,,0,,,,,,,7,0,0,0,1,0,4,1,,0.0,0.25,0.0
11501238,Rummelsburg,Lichtenberg,2.4015,52.491312,13.494826,4899.0,1059.0,2040.0,5096.0,2.0,stabil,1,4.7,675,4.7,100.0,0.0,0.0,100.0,1.0,26,0,5,3,11,0,15,3,4899.0,0.204,0.2,0.0
07200412,Schöneberger Linse,Tempelhof-Schoeneberg,0.2313,52.476741,13.360617,2611.0,991.0,11288.4,5679.0,2.0,positiv,0,,0,,,,,,,7,0,4,1,11,1,6,4,,0.383,0.667,1.0
07100103,Frobenstraße,Tempelhof-Schoeneberg,0.342,52.498648,13.357398,7897.0,1967.0,23090.6,3904.0,2.0,stabil,6,4.6,836,4.9,33.3,70.9,66.7,100.0,1.0,6,2,7,11,12,2,86,22,1316.2,1.013,0.256,0.0
03400618,Rosenthal,Pankow,1.7984,52.597673,13.378752,4783.0,799.0,2659.6,4352.0,1.0,stabil,3,4.5,468,4.7,66.7,75.7,33.3,100.0,4.0,27,0,5,0,4,1,11,4,1594.3,0.836,0.364,0.0
10200526,Boulevard Kastanienallee,Marzahn-Hellersdorf,0.5266,52.531648,13.603775,6241.0,1414.0,11851.5,3013.0,4.0,positiv,1,3.4,75,3.4,0.0,90.0,100.0,100.0,1.0,2,0,5,2,3,1,19,9,6241.0,0.32,0.474,0.0
07300516,Odenwaldstraße,Tempelhof-Schoeneberg,0.4587,52.469749,13.325148,8896.0,2129.0,19393.9,4789.0,1.0,stabil,2,4.35,801,4.9,0.0,118.0,100.0,100.0,1.0,8,1,17,7,4,3,46,19,4448.0,0.562,0.413,0.0
10100205,Gewerbegebiet Bitterfelder Straße,Marzahn-Hellersdorf,3.6013,52.55497,13.541085,1221.0,421.0,339.0,,,,1,3.3,11,3.3,100.0,77.0,0.0,100.0,,9,1,1,2,26,2,19,5,1221.0,2.457,0.263,
02300315,Lausitzer Platz,Friedrichshain-Kreuzberg,0.3509,52.500848,13.428516,8209.0,2047.0,23394.1,4042.0,2.0,positiv,9,4.43,9164,4.9,55.6,102.4,100.0,100.0,8.33,8,1,20,26,13,4,127,53,912.1,1.584,0.417,1.0
07601548,Wittelsbacherstraße,Tempelhof-Schoeneberg,0.9683,52.383036,13.418958,2896.0,397.0,2990.8,4419.0,2.0,stabil,0,,0,,,,,,,3,0,1,1,2,0,5,3,,0.0,0.6,0.0
10100314,Auersbergstraße,Marzahn-Hellersdorf,0.4709,52.538101,13.555707,6455.0,1064.0,13707.8,3261.0,2.0,stabil,1,4.6,553,4.6,0.0,119.0,100.0,100.0,1.0,12,0,5,1,6,1,9,5,6455.0,0.31,0.556,0.0
07601443,Töpchiner Weg,Tempelhof-Schoeneberg,1.9867,52.403599,13.412282,10849.0,1691.0,5460.8,3992.0,2.0,stabil,0,,0,,,,,,,10,0,9,1,6,0,23,10,,0.0,0.435,0.0
03601245,Ostseestraße,Pankow,0.966,52.54648,13.435799,13511.0,3840.0,13986.5,4182.0,2.0,stabil,5,4.12,366,4.7,0.0,77.7,66.7,100.0,1.0,22,0,15,7,12,2,48,15,2702.2,0.518,0.312,0.0
02500832,Traveplatz,Friedrichshain-Kreuzberg,0.3696,52.509486,13.472018,9541.0,3216.0,25814.4,4812.0,2.0,positiv,6,4.4,1324,4.7,66.7,99.8,100.0,83.3,1.0,8,1,11,15,10,2,62,27,1590.2,0.838,0.435,1.0
10200630,Cecilienplatz,Marzahn-Hellersdorf,0.3773,52.522087,13.59148,6627.0,927.0,17564.3,3215.0,2.0,stabil,0,,0,,,,,,,2,0,2,1,0,0,8,2,,0.0,0.25,0.0
02100104,Moritzplatz,Friedrichshain-Kreuzberg,0.3805,52.504564,13.409542,5550.0,1542.0,14586.1,3538.0,3.0,positiv,4,4.58,1258,4.8,25.0,76.8,75.0,75.0,1.0,11,2,9,14,30,3,50,13,1387.5,1.261,0.26,0.0
03701554,Teutoburger Platz,Pankow,0.5485,52.535414,13.408519,11453.0,3062.0,20880.6,5667.0,2.0,stabil,3,4.83,4249,4.9,66.7,100.4,100.0,100.0,1.0,9,1,28,38,33,5,178,73,3817.7,0.699,0.41,0.0
03500933,Weißer See,Pankow,1.0552,52.554578,13.456535,7686.0,1534.0,7283.9,4311.0,2.0,stabil,0,,0,,,,,,,19,0,10,5,9,0,24,9,,0.0,0.375,0.0
07100204,Barbarossaplatz,Tempelhof-Schoeneberg,0.5152,52.492466,13.351739,10425.0,2626.0,20234.9,4849.0,2.0,stabil,2,4.8,205,4.9,0.0,87.5,100.0,100.0,1.0,0,2,23,14,12,2,72,23,5212.5,0.384,0.319,0.0
05200420,Staakener Straße,Spandau,2.6275,52.53242,13.16589,5910.0,1041.0,2249.3,3854.0,2.0,stabil,2,4.7,1832,4.8,50.0,84.0,50.0,50.0,1.0,10,0,4,3,2,0,18,7,2955.0,0.338,0.389,0.0
08100312,Weichselplatz,Neukoelln,0.5159,52.486187,13.43725,11499.0,3086.0,22289.2,4038.0,2.0,positiv,2,4.75,862,4.9,0.0,74.5,100.0,100.0,5.5,7,2,22,31,8,6,110,36,5749.5,0.696,0.327,1.0
10100103,Wittenberger Straße,Marzahn-Hellersdorf,0.6867,52.562711,13.569703,8110.0,1778.0,11810.1,2973.0,3.0,stabil,4,3.85,1033,4.5,25.0,18.8,25.0,100.0,1.0,1,0,3,4,7,1,30,15,2027.5,0.617,0.5,0.0
03601451,Anton-Saefkow-Park,Pankow,0.5469,52.535997,13.438976,6527.0,1706.0,11934.5,4743.0,2.0,stabil,2,4.5,223,4.8,50.0,108.0,100.0,100.0,1.0,10,0,6,3,4,2,15,4,3263.5,0.613,0.267,0.0
06400736,Düppel,Steglitz-Zehlendorf,3.1305,52.421463,13.205513,5139.0,669.0,1641.6,4982.0,1.0,stabil,0,,0,,,,,,,9,0,7,0,5,0,9,2,,0.0,0.222,0.0
01400937,Afrikanische Straße,Mitte,3.6742,52.552993,13.328634,10966.0,3174.0,2984.6,3519.0,2.0,stabil,2,4.1,254,4.2,50.0,79.0,50.0,100.0,1.0,15,0,9,6,14,3,49,13,5483.0,0.456,0.265,0.0
07601339,Tirschenreuther Ring West,Tempelhof-Schoeneberg,0.4538,52.41081,13.347995,5721.0,1029.0,12606.9,3303.0,3.0,stabil,2,4.25,539,4.8,50.0,85.8,100.0,100.0,1.0,10,0,5,0,1,0,5,3,2860.5,0.35,0.6,0.0
06300632,Schweizer Viertel,Steglitz-Zehlendorf,3.0859,52.42267,13.285869,13695.0,2215.0,4437.9,5353.0,1.0,negativ,1,4.7,278,4.7,100.0,66.0,0.0,0.0,1.0,26,0,5,3,11,1,22,3,13695.0,0.146,0.136,0.0
07601545,Nahariyastraße,Tempelhof-Schoeneberg,0.9005,52.390759,13.41414,8570.0,1791.0,9516.9,3201.0,4.0,stabil,0,,0,,,,,,,13,0,15,3,7,1,5,1,,0.117,0.2,0.0
05100103,Mertensstraße,Spandau,0.7191,52.563078,13.221109,6107.0,1546.0,8492.6,3589.0,2.0,stabil,0,,0,,,,,,,6,0,4,1,4,0,9,2,,0.0,0.222,0.0
08100314,Donaustraße,Neukoelln,0.2559,52.484188,13.431819,7930.0,2430.0,30988.7,3968.0,3.0,stabil,12,4.45,7789,4.9,25.0,94.2,91.7,100.0,3.25,14,1,5,17,21,10,137,45,660.8,2.774,0.328,0.0
05200526,Rudolf-Wissell-Großsiedlung,Spandau,0.3792,52.522086,13.159157,5806.0,1223.0,15311.2,2806.0,4.0,positiv,2,4.2,83,4.3,0.0,115.5,100.0,100.0,1.0,6,0,2,0,2,1,9,3,2903.0,0.517,0.333,0.0
04500938,Hochmeisterplatz,Charlottenburg-Wilmersdorf,0.5178,52.496297,13.296645,8281.0,1936.0,15992.7,4798.0,2.0,stabil,2,3.8,295,4.2,0.0,71.5,50.0,100.0,1.0,10,0,18,9,10,1,48,20,4140.5,0.362,0.417,0.0
07400826,Marienhöhe,Tempelhof-Schoeneberg,1.1696,52.452188,13.365015,5110.0,1080.0,4369.0,3787.0,2.0,stabil,0,,0,,,,,,,13,0,7,1,3,0,7,0,,0.0,0.0,0.0
09501939,Bahnhofstraße,Treptow-Koepenick,1.1426,52.452073,13.571134,6829.0,1607.0,5976.7,4170.0,2.0,stabil,4,4.62,2250,4.9,25.0,95.4,100.0,100.0,1.0,22,0,8,6,9,3,40,10,1707.2,1.025,0.25,0.0
06100208,Bergstraße,Steglitz-Zehlendorf,0.6206,52.455638,13.330507,7065.0,1638.0,11384.1,4308.0,2.0,stabil,2,4.8,176,5.0,50.0,91.2,100.0,100.0,1.0,9,0,12,6,14,1,40,13,3532.5,0.425,0.325,0.0
03200206,Pastor-Niemöller-Platz,Pankow,1.1045,52.579199,13.397743,6842.0,1343.0,6194.7,4694.0,2.0,negativ,2,3.55,207,4.0,50.0,108.5,100.0,100.0,1.0,25,4,16,8,7,2,30,9,3421.0,0.585,0.3,0.0
03601452,Velodrom,Pankow,0.5522,52.531011,13.449321,4746.0,1368.0,8594.7,4472.0,2.0,positiv,4,4.62,1224,4.8,75.0,82.6,75.0,100.0,1.0,10,1,7,5,9,0,20,7,1186.5,0.843,0.35,1.0
11200513,Große-Leege-Straße,Lichtenberg,0.6882,52.540058,13.489907,10466.0,2608.0,15207.8,3851.0,2.0,stabil,4,4.4,789,4.6,0.0,73.5,75.0,100.0,1.0,14,0,3,7,7,1,31,8,2616.5,0.478,0.258,0.0
05100104,Maselake,Spandau,0.5593,52.557607,13.213976,6960.0,1905.0,12444.1,3732.0,2.0,stabil,3,4.7,480,4.9,0.0,80.3,66.7,66.7,1.0,12,0,7,2,9,1,11,5,2320.0,0.575,0.455,0.0
12601235,Dannenwalder Weg,Reinickendorf,0.5234,52.59423,13.356734,10610.0,2430.0,20271.3,3061.0,4.0,stabil,2,4.7,586,4.9,50.0,63.2,50.0,50.0,1.0,22,0,6,0,3,0,7,2,5305.0,0.189,0.286,0.0
03400725,Schlosspark,Pankow,1.2592,52.582394,13.420453,7645.0,1175.0,6071.3,3755.0,2.0,stabil,0,,0,,,,,,,20,0,6,1,2,0,11,2,,0.0,0.182,0.0
04300416,Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,0.5807,52.506714,13.296532,11646.0,2957.0,20055.1,4786.0,2.0,stabil,6,4.65,2824,4.9,50.0,106.9,100.0,83.3,2.5,11,1,26,23,20,4,137,58,1941.0,0.859,0.423,0.0
04501148,Brabanter Platz,Charlottenburg-Wilmersdorf,0.4201,52.480621,13.314979,4564.0,1172.0,10864.1,4180.0,2.0,negativ,2,4.65,234,4.9,50.0,77.5,50.0,50.0,1.0,12,0,7,1,2,1,19,7,2282.0,0.657,0.368,0.0
08401244,Waßmannsdorfer Chaussee,Neukoelln,2.7768,52.409756,13.493868,7315.0,1052.0,2634.3,4180.0,1.0,stabil,3,4.2,1839,4.6,0.0,90.7,100.0,66.7,1.0,26,0,2,0,4,2,16,4,2438.3,0.684,0.25,0.0
09301024,Falkenberg,Treptow-Koepenick,1.1486,52.406386,13.562665,3776.0,896.0,3287.5,4071.0,2.0,negativ,2,3.95,475,4.1,0.0,87.5,50.0,50.0,1.0,10,0,4,0,3,0,14,6,1888.0,0.53,0.429,0.0
06400843,Thielallee,Steglitz-Zehlendorf,2.1112,52.449603,13.284228,4690.0,778.0,2221.5,5976.0,1.0,stabil,1,4.6,68,4.6,0.0,36.0,0.0,0.0,1.0,18,58,9,3,8,1,22,8,4690.0,0.426,0.364,0.0
12200412,Waldidyll/Flughafensee,Reinickendorf,5.9479,52.56941,13.271307,6518.0,1278.0,1095.8,,2.0,stabil,3,4.17,306,4.4,0.0,45.3,33.3,66.7,1.0,34,0,7,1,17,2,33,9,2172.7,0.767,0.273,0.0
12200515,Alt-Tegel,Reinickendorf,2.3925,52.587854,13.276665,11322.0,2229.0,4732.3,4145.0,2.0,stabil,9,4.52,1684,4.9,33.3,84.8,75.0,62.5,1.0,25,2,22,20,37,8,143,55,1258.0,1.502,0.385,0.0
