plr_id,plr_name,bez,centroid_lat,centroid_lng,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count
11501341,Karlshorst Süd,11,52.479610504561606,13.518741515748545,25,0,19,1,6,0
07601340,Tirschenreuther Ring Ost,07,52.41017827265783,13.354869765172124,4,0,8,2,4,1
02500831,Wismarplatz,02,52.51247446136176,13.465160160181705,7,0,8,13,5,0
12601134,Märkisches Zentrum,12,52.60132573534224,13.350792339441796,15,0,16,6,11,2
07601547,Horstwalder Straße,07,52.380759020831654,13.41093548957158,12,0,1,1,3,1
08301036,Gropiusstadt Mitte,08,52.426188461297215,13.470199701026365,14,0,6,2,5,0
05200421,Spandauer Straße,05,52.5353606894484,13.142160217244825,4,0,4,1,1,0
05200418,Isenburger Weg,05,52.54407584975355,13.135361215739051,7,0,0,0,1,0
11501238,Rummelsburg,11,52.49131170668684,13.494825924622981,26,0,5,3,11,0
07200412,Schöneberger Linse,07,52.47674052195217,13.360617093140128,7,0,4,1,11,1
07100103,Frobenstraße,07,52.49864840614722,13.357397534638418,6,2,7,11,12,2
03400618,Rosenthal,03,52.5976732215324,13.378751922855713,27,0,5,0,4,1
10200526,Boulevard Kastanienallee,10,52.531648027792514,13.603774926897893,2,0,5,2,3,1
07300516,Odenwaldstraße,07,52.46974911336993,13.325148296955012,8,1,17,7,4,3
10100205,Gewerbegebiet Bitterfelder Straße,10,52.554969536274655,13.541085008705545,9,1,1,2,26,2
02300315,Lausitzer Platz,02,52.50084825189276,13.428516081133036,8,1,20,26,13,4
07601548,Wittelsbacherstraße,07,52.38303552962477,13.418958040428715,3,0,1,1,2,0
10100314,Auersbergstraße,10,52.53810073873598,13.55570668582397,12,0,5,1,6,1
07601443,Töpchiner Weg,07,52.40359891787811,13.412281628987445,10,0,9,1,6,0
03601245,Ostseestraße,03,52.54648041839429,13.435799225171438,22,0,15,7,12,2
02500832,Traveplatz,02,52.50948623314023,13.472017542161991,8,1,11,15,10,2
10200630,Cecilienplatz,10,52.52208711944332,13.591479639131688,2,0,2,1,0,0
02100104,Moritzplatz,02,52.504563621367275,13.409541931681089,11,2,9,14,30,3
03701554,Teutoburger Platz,03,52.53541435798743,13.408519370815274,9,1,28,38,33,5
03500933,Weißer See,03,52.554578210009076,13.456535093526176,19,0,10,5,9,0
07100204,Barbarossaplatz,07,52.492465980647154,13.351739298751395,0,2,23,14,12,2
05200420,Staakener Straße,05,52.532419968996955,13.165889838049031,10,0,4,3,2,0
08100312,Weichselplatz,08,52.48618724668129,13.43724987102864,7,2,22,31,8,6
10100103,Wittenberger Straße,10,52.5627109367073,13.569703481503891,1,0,3,4,7,1
03601451,Anton-Saefkow-Park,03,52.53599717276037,13.438976267695347,10,0,6,3,4,2
06400736,Düppel,06,52.42146277022535,13.205513457999107,9,0,7,0,5,0
01400937,Afrikanische Straße,01,52.55299349654418,13.32863359354313,15,0,9,6,14,3
07601339,Tirschenreuther Ring West,07,52.41081024528761,13.347994597479063,10,0,5,0,1,0
06300632,Schweizer Viertel,06,52.42267038890074,13.285868848749013,26,0,5,3,11,1
07601545,Nahariyastraße,07,52.39075857954081,13.414139584749902,13,0,15,3,7,1
05100103,Mertensstraße,05,52.56307781966387,13.221108618908938,6,0,4,1,4,0
08100314,Donaustraße,08,52.484188103016685,13.431819467964575,14,1,5,17,21,10
05200526,Rudolf-Wissell-Großsiedlung,05,52.522085799639996,13.159156826867589,6,0,2,0,2,1
04500938,Hochmeisterplatz,04,52.49629694878753,13.296645016515152,10,0,18,9,10,1
07400826,Marienhöhe,07,52.452187883306436,13.365015206746145,13,0,7,1,3,0
09501939,Bahnhofstraße,09,52.45207265631964,13.571134013627441,22,0,8,6,9,3
06100208,Bergstraße,06,52.455638320995654,13.330506698006019,9,0,12,6,14,1
03200206,Pastor-Niemöller-Platz,03,52.57919941536531,13.397742928027037,25,4,16,8,7,2
03601452,Velodrom,03,52.53101119353665,13.449320607604855,10,1,7,5,9,0
11200513,Große-Leege-Straße,11,52.5400583803721,13.489906729346718,14,0,3,7,7,1
05100104,Maselake,05,52.557606875741875,13.213976202655303,12,0,7,2,9,1
12601235,Dannenwalder Weg,12,52.59423048852054,13.356734128607743,22,0,6,0,3,0
03400725,Schlosspark,03,52.58239447746689,13.420453097211569,20,0,6,1,2,0
04300416,Amtsgerichtsplatz,04,52.50671365135166,13.296531624423077,11,1,26,23,20,4
04501148,Brabanter Platz,04,52.48062083644765,13.314978926680087,12,0,7,1,2,1
08401244,Waßmannsdorfer Chaussee,08,52.40975550803183,13.493867945943974,26,0,2,0,4,2
09301024,Falkenberg,09,52.40638620409903,13.56266486181911,10,0,4,0,3,0
06400843,Thielallee,06,52.449602692035846,13.28422808174404,18,58,9,3,8,1
12200412,Waldidyll/Flughafensee,12,52.569409548545536,13.271306834174885,34,0,7,1,17,2
12200515,Alt-Tegel,12,52.587854481640505,13.276665447095395,25,2,22,20,37,8
07501135,Birnhornweg,07,52.42106885088422,13.3917836549136,5,0,3,3,0,0
