plz,PLR_ID,overlap_area_m2,plz_area_m2,plr_area_m2,pct_of_plz,pct_of_plr
10115,01100309,201943.9725,2305932.5489,1010830.0167,0.0876,0.1998
10115,01100416,105455.0091,2305932.5489,601692.4922,0.0457,0.1753
10115,01100415,730116.9382,2305932.5489,779748.8347,0.3166,0.9363
10115,01100414,372505.6128,2305932.5489,372838.8671,0.1615,0.9991
10115,01100308,892539.5210,2305932.5489,1681761.3063,0.3871,0.5307
10115,01200624,3284.9711,2305932.5489,687650.8193,0.0014,0.0048
10117,01100312,3723.8244,3439324.4871,643280.2405,0.0011,0.0058
10117,01100207,591920.5471,3439324.4871,763233.0906,0.1721,0.7755
10117,01100206,1129706.8776,3439324.4871,1296544.3869,0.3285,0.8713
10117,01100205,633243.4791,3439324.4871,634327.7446,0.1841,0.9983
10117,01100309,282674.6403,3439324.4871,1010830.0167,0.0822,0.2796
10117,01200628,1845.1311,3439324.4871,745239.8567,0.0005,0.0025
10117,01100308,787967.2105,3439324.4871,1681761.3063,0.2291,0.4685
10117,01100102,7363.8954,3439324.4871,3917862.2690,0.0021,0.0019
10119,01100309,278592.6987,974943.6768,1010830.0167,0.2858,0.2756
10119,01100416,316609.6116,974943.6768,601692.4922,0.3247,0.5262
10119,01100310,86330.6658,974943.6768,1364458.4469,0.0885,0.0633
10119,01100415,48714.7534,974943.6768,779748.8347,0.0500,0.0625
10119,03701556,45966.9095,974943.6768,506805.7785,0.0471,0.0907
10119,03701554,198729.0378,974943.6768,548204.6587,0.2038,0.3625
10178,02400520,3012.7588,1857716.2642,941069.2717,0.0016,0.0032
10178,01100312,1410.5317,1857716.2642,643280.2405,0.0008,0.0022
10178,01100207,131252.0021,1857716.2642,763233.0906,0.0707,0.1720
10178,01100206,164180.0745,1857716.2642,1296544.3869,0.0884,0.1266
10178,01100309,245621.9868,1857716.2642,1010830.0167,0.1322,0.2430
10178,01100310,955883.5270,1857716.2642,1364458.4469,0.5145,0.7006
10178,01100311,356329.3106,1857716.2642,807539.0333,0.1918,0.4413
10179,01100313,716142.2969,2198394.5797,717692.5177,0.3258,0.9978
10179,01100312,635193.3010,2198394.5797,643280.2405,0.2889,0.9874
10179,01100207,40023.2587,2198394.5797,763233.0906,0.0182,0.0524
10179,01100309,1996.7185,2198394.5797,1010830.0167,0.0009,0.0020
10179,01100310,321671.2263,2198394.5797,1364458.4469,0.1463,0.2358
10179,01100311,450674.3254,2198394.5797,807539.0333,0.2050,0.5581
10179,02400623,32230.3785,2198394.5797,921236.3578,0.0147,0.0350
10243,02500834,29755.8348,2851629.9015,494310.8879,0.0104,0.0602
10243,02500833,35963.0234,2851629.9015,339967.1175,0.0126,0.1058
10243,02500830,15186.4652,2851629.9015,165383.8562,0.0053,0.0918
10243,02500727,14599.9448,2851629.9015,337834.2608,0.0051,0.0432
10243,02400522,126853.6987,2851629.9015,554245.8505,0.0445,0.2289
10243,02400521,327481.6115,2851629.9015,731076.5145,0.1148,0.4479
10243,02300316,523.7634,2851629.9015,471175.5308,0.0002,0.0011
10243,02400623,889005.9793,2851629.9015,921236.3578,0.3118,0.9650
10243,02400624,559551.9219,2851629.9015,564374.0575,0.1962,0.9915
10243,02400625,852180.2032,2851629.9015,863939.2885,0.2988,0.9864
10245,02500836,1100219.6139,3403997.4302,1116403.6852,0.3232,0.9855
10245,02500835,1350822.8985,3403997.4302,1354440.9844,0.3968,0.9973
10245,02500834,464571.2834,3403997.4302,494310.8879,0.1365,0.9398
10245,02500831,31639.2401,3403997.4302,248855.3570,0.0093,0.1271
10245,02500833,304007.4822,3403997.4302,339967.1175,0.0893,0.8942
10245,02500832,85268.6080,3403997.4302,369369.4934,0.0250,0.2308
10245,02500830,49541.3403,3403997.4302,165383.8562,0.0146,0.2996
10245,09100101,935.3135,3403997.4302,2312929.3151,0.0003,0.0004
10245,02400624,4822.1356,3403997.4302,564374.0575,0.0014,0.0085
10245,02400625,11801.1947,3403997.4302,863939.2885,0.0035,0.0137
10247,02500831,217216.1168,1795235.0088,248855.3570,0.1210,0.8729
10247,02500832,283838.5247,1795235.0088,369369.4934,0.1581,0.7684
10247,02500729,316976.4472,1795235.0088,322302.3457,0.1766,0.9835
10247,02500728,310442.2948,1795235.0088,310442.2948,0.1729,1.0000
10247,02500830,100656.0507,1795235.0088,165383.8562,0.0561,0.6086
10247,02500727,303524.1926,1795235.0088,337834.2608,0.1691,0.8984
10247,02400522,4112.4962,1795235.0088,554245.8505,0.0023,0.0074
10247,03601453,257971.1651,1795235.0088,576981.1692,0.1437,0.4471
10249,02500727,19722.9621,2278068.1316,337834.2608,0.0087,0.0584
10249,02400522,423018.2065,2278068.1316,554245.8505,0.1857,0.7632
10249,02500726,308658.9878,2278068.1316,309282.2761,0.1355,0.9980
10249,02400521,403568.9473,2278068.1316,731076.5145,0.1772,0.5520
10249,02400520,839286.1024,2278068.1316,941069.2717,0.3684,0.8918
10249,03601453,280514.3890,2278068.1316,576981.1692,0.1231,0.4862
10249,03701660,2969.4277,2278068.1316,574943.5734,0.0013,0.0052
10315,11401034,308516.1940,3443283.6996,1732269.1286,0.0896,0.1781
